Record_ID,Date,Day,Area,Route,Transport_Mode,Hour,Minute,Time_Band,Passenger_Count,Delay_Minutes,Service_Frequency_Per_Hour,Distance_km,Occupancy_Rate,CO2_Reduction_kg,Satisfaction_Score
3983,2025-04-04,Friday,West,R065,Rail,10,30,Morning Peak,1037,2.6,18,16.4,0.72,186.7,80.9
472,2025-04-04,Friday,South,R055,Cycling,10,45,Morning Peak,329,0.0,22,26.2,0.4,29.6,76.0
973,2025-04-04,Friday,West,R059,Bus,10,45,Morning Peak,1054,8.5,10,19.8,0.59,126.5,66.1
5164,2025-04-04,Friday,Central,R042,Shared Mobility,11,15,Midday,296,0.5,16,5.9,0.31,14.8,87.1
3729,2025-04-04,Friday,East,R060,Tram,12,15,Midday,186,3.8,13,16.1,0.49,26.0,83.9
4923,2025-04-04,Friday,South,R034,Bus,13,0,Midday,674,2.4,17,16.4,0.64,80.9,79.4
1019,2025-04-04,Friday,East,R074,Rail,13,30,Midday,554,3.8,16,20.9,0.66,99.7,67.7
4564,2025-04-04,Friday,East,R012,Tram,16,30,Midday,1555,10.2,8,6.3,0.67,217.7,71.0
4750,2025-04-04,Friday,East,R051,Rail,20,0,Late Evening,717,8.0,16,9.0,0.68,129.1,69.8
5168,2025-04-04,Friday,East,R045,Metro,20,15,Late Evening,948,0.0,11,1.8,0.84,151.7,87.0
1799,2025-04-05,Saturday,Central,R047,Bus,5,30,Early Morning,566,10.9,9,13.3,0.78,67.9,49.9
5688,2025-04-05,Saturday,West,R041,Cycling,7,30,Early Morning,748,4.8,15,15.6,0.54,67.3,73.4
5679,2025-04-05,Saturday,East,R034,Rail,8,15,Morning Peak,1089,5.9,9,5.8,0.68,196.0,64.0
343,2025-04-05,Saturday,North,R035,Rail,9,15,Morning Peak,792,7.0,8,6.2,0.69,142.6,72.1
1020,2025-04-05,Saturday,Central,R077,Bus,9,15,Morning Peak,994,9.8,9,26.9,0.68,119.3,66.6
4248,2025-04-05,Saturday,Central,R008,Bus,10,15,Morning Peak,748,4.4,15,22.1,0.59,89.8,91.4
954,2025-04-05,Saturday,West,R074,Metro,10,45,Morning Peak,534,3.2,12,13.8,0.68,85.4,81.3
5084,2025-04-05,Saturday,Central,R009,Metro,13,15,Midday,1252,3.6,14,2.2,0.95,200.3,79.6
2650,2025-04-05,Saturday,North,R022,Cycling,14,0,Midday,398,2.4,18,7.2,0.46,35.8,81.7
764,2025-04-05,Saturday,East,R028,Tram,15,0,Midday,700,5.9,14,6.3,0.61,98.0,66.7
5710,2025-04-05,Saturday,Central,R073,Bus,15,15,Midday,722,9.6,12,13.4,0.65,86.6,51.1
1114,2025-04-05,Saturday,Central,R019,Bus,19,15,Evening Peak,375,6.4,12,25.1,0.65,45.0,71.8
828,2025-04-05,Saturday,Central,R038,Shared Mobility,19,30,Evening Peak,171,5.8,7,27.0,0.45,8.6,79.3
4965,2025-04-05,Saturday,West,R026,Metro,19,30,Evening Peak,715,4.4,16,7.6,0.7,114.4,77.5
5866,2025-04-05,Saturday,South,R037,Bus,20,45,Late Evening,811,6.3,12,22.5,0.75,97.3,73.6
520,2025-04-05,Saturday,South,R034,Metro,21,15,Late Evening,515,4.0,11,4.7,0.67,82.4,78.5
2399,2025-04-05,Saturday,Central,R058,Rail,23,30,Late Evening,628,4.6,16,9.5,0.76,113.0,78.3
3873,2025-04-06,Sunday,Central,R012,Metro,5,45,Early Morning,618,0.0,23,24.4,0.78,98.9,94.9
494,2025-04-06,Sunday,North,R010,Cycling,8,0,Morning Peak,546,5.6,15,15.3,0.45,49.1,69.7
1268,2025-04-06,Sunday,South,R057,Cycling,8,15,Morning Peak,543,3.8,19,6.2,0.54,48.9,76.4
5742,2025-04-06,Sunday,Central,R021,Bus,8,45,Morning Peak,710,12.6,7,11.0,0.67,85.2,61.6
5514,2025-04-06,Sunday,West,R067,Tram,9,30,Morning Peak,638,5.9,11,24.1,0.58,89.3,65.8
1919,2025-04-06,Sunday,East,R025,Bus,9,45,Morning Peak,1041,9.0,13,15.3,0.69,124.9,71.8
5812,2025-04-06,Sunday,Central,R046,Bus,9,45,Morning Peak,1002,6.9,13,26.0,0.69,120.2,75.2
4700,2025-04-06,Sunday,Central,R064,Rail,10,0,Morning Peak,424,7.7,11,6.4,0.63,76.3,75.8
1502,2025-04-06,Sunday,East,R056,Metro,10,15,Morning Peak,1480,0.7,19,25.3,0.87,236.8,84.6
5024,2025-04-06,Sunday,South,R060,Cycling,10,15,Morning Peak,215,1.5,17,1.9,0.45,19.3,71.5
4795,2025-04-06,Sunday,Central,R035,Bus,10,30,Morning Peak,499,9.4,5,11.2,0.6,59.9,85.7
547,2025-04-06,Sunday,Central,R065,Bus,10,45,Morning Peak,422,7.7,9,19.0,0.58,50.6,75.5
5504,2025-04-06,Sunday,East,R004,Rail,10,45,Morning Peak,721,4.3,14,12.3,0.72,129.8,73.8
5161,2025-04-06,Sunday,East,R010,Bus,11,0,Midday,678,4.5,8,13.0,0.64,81.4,81.9
193,2025-04-06,Sunday,West,R050,Metro,11,30,Midday,810,1.9,16,12.5,0.83,129.6,78.4
450,2025-04-06,Sunday,East,R025,Tram,13,30,Midday,716,5.0,11,10.0,0.64,100.2,83.3
4190,2025-04-06,Sunday,Central,R060,Bus,13,45,Midday,456,9.6,12,16.5,0.62,54.7,62.6
3684,2025-04-06,Sunday,East,R031,Bus,15,0,Midday,624,6.0,4,20.9,0.63,74.9,59.8
144,2025-04-06,Sunday,South,R044,Bus,19,45,Evening Peak,440,8.2,6,15.1,0.73,52.8,70.3
5103,2025-04-06,Sunday,South,R070,Tram,20,0,Late Evening,192,3.4,15,1.6,0.47,26.9,77.6
2416,2025-04-06,Sunday,East,R074,Metro,21,0,Late Evening,1070,2.8,12,4.9,0.86,171.2,84.8
5876,2025-04-06,Sunday,East,R039,Tram,23,45,Late Evening,369,0.2,16,8.4,0.61,51.7,73.5
234,2025-04-07,Monday,East,R060,Bus,9,45,Morning Peak,1037,13.0,3,20.1,0.68,124.4,74.0
5266,2025-04-07,Monday,Central,R023,Metro,11,30,Midday,1587,2.0,15,15.7,0.84,253.9,92.3
2524,2025-04-07,Monday,Central,R017,Bus,12,45,Midday,638,6.3,15,2.9,0.64,76.6,79.7
4534,2025-04-07,Monday,Central,R017,Bus,15,30,Midday,530,7.5,13,23.1,0.59,63.6,65.4
2449,2025-04-07,Monday,South,R059,Bus,17,45,Evening Peak,803,9.8,11,12.3,0.65,96.4,63.1
321,2025-04-07,Monday,North,R079,Metro,19,0,Evening Peak,1761,0.0,18,14.7,0.87,281.8,79.9
1085,2025-04-07,Monday,South,R027,Shared Mobility,20,15,Late Evening,158,2.4,9,12.1,0.38,7.9,80.3
4270,2025-04-07,Monday,East,R016,Shared Mobility,20,15,Late Evening,245,6.8,10,13.8,0.41,12.2,68.7
2954,2025-04-07,Monday,Central,R003,Rail,20,30,Late Evening,504,6.1,13,4.5,0.59,90.7,77.1
1264,2025-04-07,Monday,East,R057,Rail,22,45,Late Evening,1014,5.0,18,5.8,0.75,182.5,74.2
230,2025-04-08,Tuesday,Central,R028,Tram,6,15,Early Morning,531,4.8,11,10.9,0.55,74.3,63.6
793,2025-04-08,Tuesday,West,R053,Rail,6,45,Early Morning,747,4.8,9,9.2,0.62,134.5,73.6
738,2025-04-08,Tuesday,South,R058,Rail,7,45,Early Morning,890,6.2,11,5.9,0.67,160.2,71.9
1359,2025-04-08,Tuesday,East,R013,Tram,8,0,Morning Peak,867,11.6,8,8.3,0.66,121.4,51.1
2904,2025-04-08,Tuesday,South,R017,Metro,10,0,Morning Peak,1227,1.5,17,23.6,0.77,196.3,74.5
1333,2025-04-08,Tuesday,South,R016,Bus,10,15,Morning Peak,905,9.8,10,18.1,0.66,108.6,64.2
2917,2025-04-08,Tuesday,South,R048,Tram,10,30,Morning Peak,594,5.0,4,6.2,0.58,83.2,82.0
1587,2025-04-08,Tuesday,Central,R025,Bus,11,15,Midday,878,7.2,12,16.1,0.75,105.4,69.9
2906,2025-04-08,Tuesday,South,R024,Tram,15,0,Midday,1095,3.4,16,12.6,0.71,153.3,82.3
5840,2025-04-08,Tuesday,South,R063,Metro,15,45,Midday,1812,4.4,19,2.2,0.9,289.9,84.9
1388,2025-04-08,Tuesday,East,R022,Bus,16,0,Midday,1095,7.7,10,23.3,0.65,131.4,69.7
4368,2025-04-08,Tuesday,Central,R023,Bus,16,0,Midday,1271,10.4,11,7.5,0.66,152.5,70.5
5490,2025-04-08,Tuesday,Central,R069,Rail,16,45,Midday,1058,7.4,11,6.1,0.78,190.4,55.8
5189,2025-04-08,Tuesday,Central,R053,Bus,18,45,Evening Peak,1330,11.4,9,2.5,0.73,159.6,67.2
2094,2025-04-08,Tuesday,West,R017,Rail,19,45,Evening Peak,689,7.2,13,4.3,0.71,124.0,72.9
5944,2025-04-08,Tuesday,South,R038,Metro,20,30,Late Evening,1091,4.6,15,4.1,0.8,174.6,79.4
3861,2025-04-08,Tuesday,Central,R051,Shared Mobility,20,45,Late Evening,175,2.1,14,2.3,0.39,8.8,78.2
4320,2025-04-08,Tuesday,Central,R032,Bus,22,0,Late Evening,562,7.3,8,19.5,0.68,67.4,66.3
4977,2025-04-08,Tuesday,West,R024,Tram,22,0,Late Evening,696,9.1,9,10.7,0.56,97.4,66.4
1479,2025-04-08,Tuesday,West,R055,Bus,22,15,Late Evening,714,5.1,11,11.0,0.54,85.7,84.7
4071,2025-04-09,Wednesday,East,R009,Bus,6,30,Early Morning,584,6.1,13,5.8,0.66,70.1,75.4
1569,2025-04-09,Wednesday,West,R013,Metro,9,0,Morning Peak,1749,6.8,10,14.5,0.78,279.8,76.7
545,2025-04-09,Wednesday,East,R066,Cycling,9,15,Morning Peak,607,2.8,11,23.7,0.5,54.6,78.8
272,2025-04-09,Wednesday,West,R055,Rail,9,45,Morning Peak,1450,11.4,8,4.9,0.77,261.0,71.2
4033,2025-04-09,Wednesday,North,R063,Bus,9,45,Morning Peak,1769,6.7,13,10.2,0.78,212.3,86.0
580,2025-04-09,Wednesday,Central,R005,Bus,10,15,Morning Peak,1231,3.1,20,2.2,0.66,147.7,74.0
1725,2025-04-09,Wednesday,North,R037,Bus,10,45,Morning Peak,1150,6.1,17,9.7,0.68,138.0,68.7
5391,2025-04-09,Wednesday,Central,R004,Metro,10,45,Morning Peak,1476,2.7,18,6.2,0.86,236.2,69.5
2927,2025-04-09,Wednesday,North,R030,Bus,11,15,Midday,1500,10.1,8,27.0,0.69,180.0,63.7
5883,2025-04-09,Wednesday,South,R008,Cycling,11,15,Midday,405,0.3,22,5.1,0.55,36.4,90.9
3355,2025-04-09,Wednesday,South,R003,Bus,12,0,Midday,1072,8.3,13,1.9,0.74,128.6,71.6
257,2025-04-09,Wednesday,South,R028,Bus,14,15,Midday,780,7.3,2,26.8,0.67,93.6,82.7
740,2025-04-09,Wednesday,South,R049,Bus,14,30,Midday,665,5.1,13,5.3,0.65,79.8,78.9
5562,2025-04-09,Wednesday,East,R039,Cycling,14,45,Midday,354,3.9,12,12.5,0.5,31.9,86.3
289,2025-04-09,Wednesday,Central,R023,Bus,15,0,Midday,648,7.7,14,7.5,0.55,77.8,56.5
336,2025-04-09,Wednesday,North,R044,Bus,15,0,Midday,744,7.2,17,14.2,0.62,89.3,65.9
344,2025-04-09,Wednesday,North,R010,Rail,15,15,Midday,1481,7.3,14,9.1,0.69,266.6,68.1
2441,2025-04-09,Wednesday,Central,R004,Bus,20,15,Late Evening,382,7.9,10,26.8,0.58,45.8,67.2
3465,2025-04-09,Wednesday,South,R003,Cycling,22,0,Late Evening,511,0.0,16,27.4,0.54,46.0,80.1
120,2025-04-09,Wednesday,Central,R043,Bus,22,15,Late Evening,515,1.7,19,16.0,0.53,61.8,79.0
5112,2025-04-09,Wednesday,East,R078,Cycling,22,45,Late Evening,209,0.0,18,18.8,0.51,18.8,88.8
1943,2025-04-10,Thursday,East,R032,Metro,5,30,Early Morning,757,3.5,19,11.1,0.7,121.1,86.6
2221,2025-04-10,Thursday,North,R008,Tram,5,45,Early Morning,751,2.1,17,22.6,0.62,105.1,77.8
3703,2025-04-10,Thursday,West,R078,Shared Mobility,8,30,Morning Peak,259,3.3,21,20.1,0.38,13.0,76.6
3759,2025-04-10,Thursday,South,R002,Rail,8,45,Morning Peak,1972,6.1,13,24.4,0.79,355.0,79.2
5439,2025-04-10,Thursday,Central,R009,Metro,10,15,Morning Peak,1741,3.4,14,5.6,0.94,278.6,69.3
478,2025-04-10,Thursday,Central,R057,Bus,12,0,Midday,1312,4.5,12,16.7,0.78,157.4,78.1
2822,2025-04-10,Thursday,West,R054,Metro,13,15,Midday,825,4.1,17,27.3,0.79,132.0,74.7
13,2025-04-10,Thursday,East,R034,Bus,18,15,Evening Peak,1051,12.4,4,16.0,0.65,126.1,68.0
4353,2025-04-10,Thursday,West,R005,Metro,18,30,Evening Peak,1717,5.7,10,7.9,0.81,274.7,71.2
4218,2025-04-10,Thursday,Central,R069,Rail,19,30,Evening Peak,562,7.7,11,26.4,0.72,101.2,71.7
3376,2025-04-10,Thursday,South,R023,Cycling,21,30,Late Evening,270,0.5,12,10.2,0.52,24.3,83.8
488,2025-04-10,Thursday,Central,R077,Tram,21,45,Late Evening,709,0.2,15,5.0,0.64,99.3,73.9
3105,2025-04-10,Thursday,West,R068,Rail,21,45,Late Evening,777,8.8,2,8.9,0.75,139.9,66.6
3752,2025-04-10,Thursday,East,R044,Rail,22,30,Late Evening,538,5.1,9,27.4,0.65,96.8,76.7
569,2025-04-10,Thursday,Central,R068,Metro,22,45,Late Evening,1102,2.2,12,27.2,0.75,176.3,83.8
126,2025-04-11,Friday,East,R052,Bus,6,45,Early Morning,748,8.2,13,17.0,0.66,89.8,76.9
1426,2025-04-11,Friday,Central,R008,Shared Mobility,7,0,Early Morning,500,5.6,14,5.6,0.59,25.0,75.5
2455,2025-04-11,Friday,West,R002,Bus,7,0,Early Morning,1189,7.7,6,16.2,0.7,142.7,79.7
2707,2025-04-11,Friday,South,R053,Cycling,8,0,Morning Peak,691,3.7,20,15.7,0.56,62.2,70.5
5011,2025-04-11,Friday,North,R015,Tram,9,0,Morning Peak,1016,9.5,10,15.5,0.7,142.2,65.4
5381,2025-04-11,Friday,Central,R011,Bus,9,0,Morning Peak,1067,8.0,12,25.4,0.62,128.0,68.3
2367,2025-04-11,Friday,South,R039,Bus,9,15,Morning Peak,1947,11.6,2,24.5,0.92,233.6,69.0
3480,2025-04-11,Friday,East,R039,Bus,9,45,Morning Peak,1073,8.9,13,13.2,0.78,128.8,62.5
1160,2025-04-11,Friday,North,R006,Tram,10,30,Morning Peak,531,2.2,16,11.8,0.57,74.3,96.5
202,2025-04-11,Friday,Central,R031,Metro,11,0,Midday,1077,4.9,14,6.2,0.74,172.3,67.3
411,2025-04-11,Friday,North,R053,Bus,11,0,Midday,1627,2.2,16,26.3,0.86,195.2,85.9
510,2025-04-11,Friday,West,R023,Rail,11,45,Midday,1265,6.4,11,6.2,0.73,227.7,73.8
2991,2025-04-11,Friday,North,R064,Metro,11,45,Midday,1376,3.3,11,6.1,0.82,220.2,74.9
3723,2025-04-11,Friday,West,R025,Metro,12,0,Midday,1337,1.6,13,13.2,0.86,213.9,94.6
4010,2025-04-11,Friday,Central,R063,Bus,13,0,Midday,503,7.5,5,1.6,0.62,60.4,63.4
3998,2025-04-11,Friday,North,R058,Bus,13,45,Midday,837,7.4,8,10.9,0.78,100.4,70.4
5617,2025-04-11,Friday,East,R015,Metro,16,15,Midday,1794,8.3,12,5.2,0.84,287.0,64.8
3737,2025-04-11,Friday,South,R070,Bus,17,15,Evening Peak,1380,9.1,8,9.6,0.8,165.6,61.6
2994,2025-04-11,Friday,West,R045,Tram,19,45,Evening Peak,508,1.4,14,2.6,0.59,71.1,80.0
934,2025-04-11,Friday,South,R033,Shared Mobility,20,0,Late Evening,210,1.0,17,27.8,0.33,10.5,79.4
5788,2025-04-11,Friday,North,R005,Bus,21,0,Late Evening,738,4.0,10,4.5,0.69,88.6,71.9
2543,2025-04-11,Friday,East,R026,Bus,21,45,Late Evening,806,6.6,10,19.0,0.58,96.7,73.0
1014,2025-04-11,Friday,Central,R016,Shared Mobility,23,15,Late Evening,295,1.6,16,9.1,0.54,14.8,74.2
1422,2025-04-12,Saturday,Central,R003,Bus,9,0,Morning Peak,1909,8.7,9,25.6,0.87,229.1,83.8
1806,2025-04-12,Saturday,East,R063,Metro,9,15,Morning Peak,1987,8.6,10,16.5,0.91,317.9,65.2
3804,2025-04-12,Saturday,South,R007,Cycling,9,30,Morning Peak,616,3.3,16,18.6,0.49,55.4,81.9
3117,2025-04-12,Saturday,Central,R042,Bus,10,0,Morning Peak,783,6.9,11,18.0,0.76,94.0,68.3
3898,2025-04-12,Saturday,East,R013,Bus,10,30,Morning Peak,493,2.5,12,27.6,0.66,59.2,79.5
2119,2025-04-12,Saturday,South,R036,Bus,10,45,Morning Peak,590,2.5,21,1.8,0.53,70.8,78.1
3513,2025-04-12,Saturday,North,R036,Bus,10,45,Morning Peak,934,6.4,9,12.4,0.7,112.1,81.2
3011,2025-04-12,Saturday,South,R017,Bus,12,15,Midday,656,8.1,9,17.8,0.63,78.7,91.7
2263,2025-04-12,Saturday,West,R048,Shared Mobility,14,15,Midday,274,6.8,8,11.1,0.33,13.7,73.3
4178,2025-04-12,Saturday,North,R029,Rail,16,15,Midday,1097,9.2,15,7.2,0.79,197.5,71.0
4493,2025-04-12,Saturday,West,R011,Rail,16,45,Midday,1075,9.3,5,23.5,0.79,193.5,73.1
2300,2025-04-12,Saturday,East,R006,Cycling,19,15,Evening Peak,297,0.9,16,2.5,0.49,26.7,82.2
3796,2025-04-12,Saturday,South,R043,Bus,21,30,Late Evening,490,8.0,6,2.4,0.5,58.8,87.9
2095,2025-04-12,Saturday,South,R061,Metro,22,0,Late Evening,357,9.6,5,14.3,0.75,57.1,53.6
2097,2025-04-12,Saturday,South,R011,Shared Mobility,22,30,Late Evening,147,0.0,17,13.5,0.38,7.4,93.5
5215,2025-04-12,Saturday,Central,R016,Metro,22,30,Late Evening,825,4.8,14,5.4,0.71,132.0,70.1
5912,2025-04-12,Saturday,North,R080,Bus,22,30,Late Evening,403,3.7,16,19.5,0.73,48.4,77.9
3287,2025-04-13,Sunday,Central,R037,Bus,6,0,Early Morning,297,7.0,16,25.7,0.6,35.6,74.0
2452,2025-04-13,Sunday,South,R071,Metro,7,0,Early Morning,870,7.3,9,24.4,0.75,139.2,69.7
787,2025-04-13,Sunday,South,R022,Metro,7,15,Early Morning,902,5.2,15,4.5,0.8,144.3,63.2
1831,2025-04-13,Sunday,South,R044,Metro,9,30,Morning Peak,1501,6.0,17,3.3,0.75,240.2,75.8
5206,2025-04-13,Sunday,West,R036,Tram,10,0,Morning Peak,333,8.6,12,23.9,0.44,46.6,68.2
1471,2025-04-13,Sunday,South,R064,Bus,10,15,Morning Peak,504,6.2,15,6.9,0.71,60.5,68.1
4128,2025-04-13,Sunday,North,R026,Bus,11,45,Midday,650,11.0,6,15.1,0.52,78.0,71.8
8,2025-04-13,Sunday,Central,R064,Metro,12,30,Midday,1397,4.2,11,6.6,0.79,223.5,72.6
4093,2025-04-13,Sunday,Central,R071,Metro,13,30,Midday,950,5.8,10,22.2,0.82,152.0,76.1
5481,2025-04-13,Sunday,Central,R078,Metro,15,15,Midday,983,2.3,14,6.1,0.66,157.3,79.8
1,2025-04-13,Sunday,North,R023,Metro,18,45,Evening Peak,1057,8.2,2,3.2,0.85,169.1,68.1
4620,2025-04-13,Sunday,South,R045,Rail,19,0,Evening Peak,536,3.4,17,20.7,0.59,96.5,74.4
5369,2025-04-13,Sunday,South,R022,Shared Mobility,19,30,Evening Peak,181,1.4,19,27.7,0.51,9.0,74.7
417,2025-04-13,Sunday,East,R028,Bus,21,45,Late Evening,537,3.3,12,22.9,0.46,64.4,77.1
3468,2025-04-14,Monday,East,R027,Tram,5,0,Early Morning,462,3.5,16,23.8,0.52,64.7,80.4
4559,2025-04-14,Monday,Central,R036,Metro,6,15,Early Morning,1008,2.2,16,13.1,0.82,161.3,84.4
3869,2025-04-14,Monday,South,R068,Bus,7,45,Early Morning,1178,7.0,11,18.6,0.75,141.4,65.7
4188,2025-04-14,Monday,West,R012,Bus,8,30,Morning Peak,1187,10.1,9,5.8,0.68,142.4,68.7
5823,2025-04-14,Monday,West,R065,Tram,9,0,Morning Peak,1088,8.3,10,25.2,0.63,152.3,75.3
1137,2025-04-14,Monday,East,R019,Bus,9,45,Morning Peak,1510,9.8,7,6.3,0.7,181.2,59.6
1413,2025-04-14,Monday,West,R017,Bus,9,45,Morning Peak,1912,7.8,6,12.9,0.86,229.4,69.5
3821,2025-04-14,Monday,South,R001,Bus,9,45,Morning Peak,1012,8.9,12,20.2,0.64,121.4,61.9
2329,2025-04-14,Monday,East,R046,Bus,10,30,Morning Peak,633,5.6,12,6.6,0.6,76.0,73.0
1057,2025-04-14,Monday,East,R063,Cycling,10,45,Morning Peak,423,5.1,15,8.9,0.48,38.1,79.2
4809,2025-04-14,Monday,North,R026,Bus,10,45,Morning Peak,763,10.5,4,8.2,0.66,91.6,60.1
3595,2025-04-14,Monday,Central,R075,Bus,15,15,Midday,738,9.3,9,5.5,0.65,88.6,64.8
1071,2025-04-14,Monday,North,R075,Bus,15,45,Midday,696,6.7,8,4.6,0.71,83.5,77.3
2679,2025-04-14,Monday,South,R040,Rail,15,45,Midday,866,5.9,9,21.2,0.72,155.9,71.5
5845,2025-04-14,Monday,East,R070,Metro,17,0,Evening Peak,1330,5.7,11,23.2,0.86,212.8,79.7
3858,2025-04-14,Monday,South,R059,Rail,17,45,Evening Peak,1837,8.7,14,27.9,0.88,330.7,75.9
284,2025-04-14,Monday,North,R026,Bus,19,0,Evening Peak,522,7.8,11,20.2,0.67,62.6,75.3
2975,2025-04-14,Monday,North,R025,Bus,19,15,Evening Peak,550,4.1,15,12.0,0.5,66.0,73.9
1140,2025-04-14,Monday,West,R026,Tram,20,0,Late Evening,693,4.3,12,4.9,0.61,97.0,96.6
369,2025-04-14,Monday,South,R056,Bus,20,45,Late Evening,803,10.2,6,16.3,0.59,96.4,71.0
5227,2025-04-14,Monday,North,R066,Bus,20,45,Late Evening,565,5.4,11,26.4,0.58,67.8,58.1
1070,2025-04-14,Monday,East,R007,Bus,21,30,Late Evening,598,7.4,14,13.3,0.71,71.8,69.3
4745,2025-04-14,Monday,East,R069,Metro,22,15,Late Evening,782,2.6,10,15.8,0.67,125.1,91.2
4903,2025-04-14,Monday,North,R048,Bus,22,30,Late Evening,1123,7.1,14,10.1,0.64,134.8,64.1
2515,2025-04-15,Tuesday,Central,R038,Rail,10,0,Morning Peak,985,7.0,13,16.8,0.61,177.3,84.6
5292,2025-04-15,Tuesday,East,R080,Bus,15,15,Midday,798,11.3,8,25.7,0.67,95.8,85.2
2582,2025-04-15,Tuesday,West,R049,Tram,15,30,Midday,851,2.9,14,2.1,0.72,119.1,93.1
5251,2025-04-15,Tuesday,Central,R069,Shared Mobility,16,0,Midday,496,0.0,19,4.0,0.48,24.8,82.6
739,2025-04-15,Tuesday,West,R048,Metro,17,15,Evening Peak,1754,7.9,8,3.2,0.89,280.6,68.7
1589,2025-04-15,Tuesday,West,R033,Tram,17,30,Evening Peak,771,9.4,5,13.2,0.56,107.9,48.5
4059,2025-04-15,Tuesday,Central,R049,Bus,18,45,Evening Peak,2066,7.7,11,10.7,0.83,247.9,77.4
3316,2025-04-15,Tuesday,South,R019,Bus,19,15,Evening Peak,707,7.3,8,27.7,0.61,84.8,66.9
1920,2025-04-15,Tuesday,South,R067,Rail,19,30,Evening Peak,721,5.1,13,22.1,0.69,129.8,77.7
532,2025-04-15,Tuesday,North,R075,Bus,20,0,Late Evening,422,2.9,16,14.5,0.57,50.6,81.7
2315,2025-04-16,Wednesday,Central,R018,Shared Mobility,7,0,Early Morning,708,5.7,17,14.7,0.49,35.4,66.1
429,2025-04-16,Wednesday,North,R067,Bus,9,45,Morning Peak,1037,6.3,12,23.6,0.72,124.4,68.9
4382,2025-04-16,Wednesday,North,R025,Metro,9,45,Morning Peak,2079,8.0,9,9.4,0.94,332.6,70.3
5628,2025-04-16,Wednesday,Central,R005,Bus,9,45,Morning Peak,878,9.4,5,20.7,0.7,105.4,54.1
5048,2025-04-16,Wednesday,North,R060,Cycling,10,0,Morning Peak,1078,5.5,12,21.4,0.47,97.0,71.9
5039,2025-04-16,Wednesday,North,R072,Bus,11,0,Midday,619,5.6,17,12.0,0.65,74.3,66.8
804,2025-04-16,Wednesday,Central,R022,Rail,12,45,Midday,1055,3.7,12,5.5,0.75,189.9,83.2
5501,2025-04-16,Wednesday,North,R022,Bus,12,45,Midday,805,8.7,12,10.1,0.75,96.6,54.8
1149,2025-04-16,Wednesday,West,R008,Bus,13,15,Midday,1133,5.1,17,6.0,0.72,136.0,82.3
5678,2025-04-16,Wednesday,South,R021,Bus,13,45,Midday,1106,5.3,9,8.6,0.73,132.7,75.6
2171,2025-04-16,Wednesday,Central,R075,Rail,15,0,Midday,698,6.6,13,3.5,0.73,125.6,78.2
66,2025-04-16,Wednesday,Central,R033,Metro,15,15,Midday,1127,5.1,13,23.1,0.81,180.3,79.1
2837,2025-04-16,Wednesday,Central,R070,Rail,15,45,Midday,1001,5.9,7,11.4,0.73,180.2,72.8
1839,2025-04-16,Wednesday,Central,R023,Tram,18,0,Evening Peak,998,9.2,10,23.1,0.64,139.7,75.0
5717,2025-04-16,Wednesday,North,R009,Metro,18,0,Evening Peak,2131,6.7,12,23.2,0.99,341.0,84.6
5511,2025-04-16,Wednesday,East,R038,Rail,18,15,Evening Peak,1301,11.0,6,23.7,0.72,234.2,76.6
5719,2025-04-16,Wednesday,South,R049,Metro,20,45,Late Evening,721,0.0,21,3.4,0.75,115.4,86.4
2846,2025-04-16,Wednesday,West,R046,Metro,21,45,Late Evening,779,0.3,17,21.7,0.75,124.6,80.3
3252,2025-04-16,Wednesday,Central,R040,Metro,22,30,Late Evening,782,1.0,15,3.2,0.77,125.1,97.6
4445,2025-04-17,Thursday,East,R001,Rail,5,15,Early Morning,650,4.6,15,6.5,0.6,117.0,85.0
3699,2025-04-17,Thursday,North,R049,Bus,8,30,Morning Peak,1116,8.3,5,27.5,0.64,133.9,67.2
4466,2025-04-17,Thursday,East,R014,Tram,9,30,Morning Peak,797,4.5,16,2.6,0.62,111.6,72.4
1555,2025-04-17,Thursday,East,R044,Bus,10,0,Morning Peak,982,5.2,13,27.7,0.68,117.8,74.9
3973,2025-04-17,Thursday,North,R077,Bus,11,30,Midday,1169,4.0,17,25.2,0.74,140.3,91.7
2855,2025-04-17,Thursday,East,R016,Rail,12,15,Midday,1478,6.9,9,11.1,0.8,266.0,63.5
2793,2025-04-17,Thursday,North,R045,Metro,14,45,Midday,1981,0.9,18,17.5,1.0,317.0,90.9
1993,2025-04-17,Thursday,North,R052,Bus,16,15,Midday,2298,11.8,10,6.8,0.8,275.8,60.0
4699,2025-04-17,Thursday,East,R065,Bus,16,30,Midday,1205,7.8,12,15.8,0.82,144.6,64.2
5201,2025-04-17,Thursday,East,R040,Tram,18,45,Evening Peak,771,2.2,15,24.6,0.72,107.9,83.5
3353,2025-04-17,Thursday,West,R043,Rail,20,30,Late Evening,714,7.2,10,8.0,0.69,128.5,73.1
5703,2025-04-17,Thursday,Central,R071,Rail,20,45,Late Evening,844,3.7,12,16.2,0.71,151.9,74.3
4,2025-04-17,Thursday,West,R017,Metro,21,0,Late Evening,457,0.8,20,24.9,0.65,73.1,87.7
868,2025-04-17,Thursday,West,R066,Bus,21,0,Late Evening,990,7.2,10,14.2,0.63,118.8,67.5
2993,2025-04-17,Thursday,North,R045,Cycling,21,30,Late Evening,381,4.0,9,21.3,0.44,34.3,76.7
